date,longitude,latitude,sst_celsius,current_u_m_s,current_v_m_s,current_speed_m_s,current_direction_deg
2023-10-13,80.05555555555556,7.166666666666667,28.63,,,,
2023-10-13,80.05555555555556,7.555555555555555,28.66,,,,
2023-10-13,80.05555555555556,8.722222222222221,28.97,,,,
2023-10-13,80.05555555555556,9.11111111111111,29.23,,,,
2023-10-13,80.05555555555556,9.5,29.35,,,,
2023-10-13,80.33333333333333,6.0,28.86,,,,
2023-10-13,80.61111111111111,6.0,28.9,,,,
2023-10-13,80.61111111111111,9.5,,-0.1,0.14,0.17204650534085256,324.4623222080256
2023-10-13,80.88888888888889,6.0,28.93,-0.1,-0.12,0.1562049935181331,219.80557109226518
2023-10-13,80.88888888888889,9.11111111111111,29.59,,,,
2023-10-13,80.88888888888889,9.5,29.62,0.07,-0.75,0.7532595834106594,174.66784111834045
2023-10-13,81.16666666666667,6.0,28.94,0.8,0.54,0.9651942809610924,55.98065001017354
2023-10-13,81.16666666666667,8.722222222222221,29.57,0.86,-0.73,1.1280514172678477,130.32583628886923
2023-10-13,81.16666666666667,9.11111111111111,29.62,1.6,-3.46,3.8120335780263006,155.18286912757316
2023-10-13,81.16666666666667,9.5,29.63,0.08,-3.58,3.580893743187586,178.71986044039508
2023-10-13,81.44444444444444,6.0,28.95,1.98,1.26,2.3469128658729534,57.52880770915151
2023-10-13,81.44444444444444,6.388888888888889,28.86,,,,
2023-10-13,81.44444444444444,7.944444444444445,29.37,,,,
2023-10-13,81.44444444444444,8.333333333333334,29.48,0.19,-2.0,2.0090047287151913,174.57318750142718
2023-10-13,81.44444444444444,8.722222222222221,29.57,2.63,-4.62,5.316135814668395,150.34869548793506
2023-10-13,81.44444444444444,9.11111111111111,29.57,2.6,-4.95,5.591287865957181,152.2891859847469
2023-10-13,81.44444444444444,9.5,29.55,0.28,-4.64,4.648440598738462,176.5466837494689
2023-10-13,81.72222222222223,6.0,28.95,0.73,1.99,2.1196697856034086,20.14476286706354
2023-10-13,81.72222222222223,6.388888888888889,28.86,3.25,4.74,5.747181918123004,34.43664015835339
2023-10-13,81.72222222222223,7.944444444444445,29.37,0.89,-0.67,1.1140017953306898,126.97276248956804
2023-10-13,81.72222222222223,8.333333333333334,29.48,2.83,-4.01,4.9080546044232225,144.78801711496894
2023-10-13,81.72222222222223,8.722222222222221,29.57,3.58,-3.74,5.177257961508196,136.25216737520387
2023-10-13,81.72222222222223,9.11111111111111,29.57,0.3,-4.88,4.889212615544552,176.48214560419825
2023-10-13,81.72222222222223,9.5,29.55,0.11,-4.21,4.211436809451141,178.50330116024105
2023-10-13,82.0,6.0,28.98,-0.84,2.34,2.486201922612079,340.2531633945739
2023-10-13,82.0,6.388888888888889,28.95,3.2,5.65,6.493265742290239,29.52598731124174
2023-10-13,82.0,6.777777777777778,28.81,2.77,9.28,9.684590853515703,16.619910795109067
2023-10-13,82.0,7.166666666666667,28.83,0.32,8.65,8.655917051358568,2.1186464980221174
2023-10-13,82.0,7.555555555555555,28.95,0.93,8.81,8.858950276415372,6.02593233204291
2023-10-13,82.0,7.944444444444445,29.31,0.81,6.24,6.292352501251023,7.396076559712661
2023-10-13,82.0,8.333333333333334,29.47,1.91,-0.12,1.9137659209004638,93.5950096610091
2023-10-13,82.0,8.722222222222221,29.53,2.94,0.79,3.0442897365395427,74.95947122807162
2023-10-13,82.0,9.11111111111111,29.52,0.42,1.02,1.103086578651014,22.380135051959574
2023-10-13,82.0,9.5,29.49,-0.94,-4.31,4.411314996687495,192.3034013303028
2023-10-20,79.5,6.0,28.61,-0.86,-1.18,1.4601369798755184,216.08507304285212
2023-10-20,79.5,6.388888888888889,28.48,0.8,0.08,0.8039900496896712,84.28940686250037
2023-10-20,79.5,6.777777777777778,28.67,0.99,0.33,1.0435516278555652,71.56505117707799
2023-10-20,79.5,7.166666666666667,28.78,0.58,0.87,1.0456098698845568,33.690067525979785
2023-10-20,79.5,7.555555555555555,28.82,0.08,2.89,2.89110705439975,1.58563741109692
2023-10-20,79.5,7.944444444444445,28.71,0.3,2.92,2.9353705047233816,5.86597114172653
2023-10-20,79.5,8.333333333333334,28.75,0.44,2.46,2.499039815609187,10.140793146112795
2023-10-20,79.5,8.722222222222221,28.73,0.84,3.67,3.7649037172283704,12.891956735417937
2023-10-20,79.5,9.11111111111111,28.79,0.44,1.2,1.2781236246936365,20.136303428248137
2023-10-20,79.5,9.5,28.94,0.58,0.76,0.9560334722173696,37.34934904464059
2023-10-20,79.77777777777777,6.0,28.61,-2.34,2.29,3.274095294886818,314.38127913212315
2023-10-20,79.77777777777777,6.388888888888889,28.48,0.54,3.95,3.9867405232846544,7.784583927593701
2023-10-20,79.77777777777777,6.777777777777778,28.67,0.05,2.2,2.200568108466539,1.3019526725788753
2023-10-20,79.77777777777777,7.166666666666667,28.78,,,,
2023-10-20,79.77777777777777,7.555555555555555,28.82,,,,
2023-10-20,79.77777777777777,7.944444444444445,28.71,,,,
